,股票代码,股票简称,立案调查主体,立案调查时间,立案调查标题,立案调查原因,立案调查发布时间
0,600614,*ST鹏起,中国证券监督管理委员会,20200509,展开*ST鹏起关于公司及公司实际控...,涉嫌信息披露违规,20200509
1,600300,维维股份,中国证券监督管理委员会,20200507,展开维维股份关于收到中国证券监督管...,涉嫌信息披露违规,20200507
2,002711,*ST欧浦,中国证券监督管理委员会,20200506,展开*ST欧浦：关于公司实际控制人...,涉嫌违反证券期货法律法规,20200506
3,603177,德创环保,中国证券监督管理委员会,20200430,展开德创环保关于公司高级管理人员收...,涉嫌短线交易,20200430
4,600179,*ST安通,中国证券监督管理委员会,20200430,展开ST安通关于收到中国证券监督管...,涉嫌信息披露违规,20200430
5,600090,同济堂,中国证券监督管理委员会,20200428,展开同济堂关于收到中国证券监督管理...,涉嫌信息披露违规,20200428
6,000662,天夏智慧,中国证券监督管理委员会,20200427,展开天夏智慧：关于收到《中国证券监...,涉嫌信息披露违规,20200427
7,600978,*ST宜生,中国证券监督管理委员会,20200427,展开宜华生活关于收到中国证券监督管...,涉嫌信息披露违规,20200427
8,600671,天目药业,中国证券监督管理委员会,20200422,展开天目药业关于收到《中国证券监督...,涉嫌信息披露违规,20200422
9,300367,东方网力,中国证券监督管理委员会,20200415,展开东方网力：关于公司及公司董事分...,涉嫌信息披露违规,20200415
10,000506,中润资源,中国证券监督管理委员会,20200415,展开中润资源：关于收到《中国证券监...,涉嫌信息披露违规,20200415
11,002700,ST浩源,中国证券监督管理委员会新疆监管局,20200414,展开新疆浩源：关于收到新疆证监局调...,涉嫌信息披露违规,20200414
12,002071,长城影视,中国证券监督管理委员会,20200412,展开长城影视：关于公司收到《中国证...,涉嫌信息披露违规,20200412
13,300064,豫金刚石,中国证券监督管理委员会,20200408,展开豫金刚石：关于收到中国证券监督...,涉嫌信息披露违规,20200408
14,002656,ST摩登,中国证券监督管理委员会,20200401,展开ST摩登：关于收到立案调查通知...,涉嫌信息披露违规,20200401
15,002411,延安必康,中国证券监督管理委员会,20200326,展开延安必康：关于收到中国证券监督...,涉嫌信息披露违规,20200326
16,300160,秀强股份,中国证券监督管理委员会,20200316,展开秀强股份：关于收到中国证券监督...,涉嫌信息披露违规,20200316
17,300261,雅本化学,中国证券监督管理委员会,20200316,展开雅本化学：关于收到中国证券监督...,涉嫌信息披露违规,20200316
18,300801,泰和科技,中国证券监督管理委员会,20200315,展开泰和科技：关于收到中国证监会调...,涉嫌信息披露违规,20200315
19,300025,华星创业,中国证券监督管理委员会,20200313,展开华星创业：关于相关人员收到中国...,涉嫌短线交易,20200313
